Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
106.48050332069397	0	-235.78708	119.52276	-5.4674683	-571.4255	111.86871508379889	85.17157887505468	40049	40049
210.9467318058014	1	-211.11938	100.78955	-0.6442375	-581.733	114.06267806267806	73.95768831706444	40036	80085
314.58329939842224	2	-194.92203	91.58036	-8.83156	-594.9206	111.19166666666666	69.35504017172958	40029	120114
419.89004015922546	3	-191.09134	84.66982	-19.712425	-583.88165	114.6189111747851	64.52529579238876	40002	160116
522.72021651268	4	-188.3254	84.55456	-31.280151	-501.50745	115.4178674351585	34.79625378250578	40050	200166
627.0839433670044	5	-182.16988	73.47485	-62.999855	-502.0447	118.023598820059	33.84250400478636	40010	240176
740.0939607620239	6	-180.81679	88.94914	12.395966	-593.1561	124.10526315789474	77.33547243908559	40086	280262
848.2588431835175	7	-179.46095	79.68298	-28.125977	-502.88983	122.68501529051987	36.798590443642134	40118	320380
965.2534213066101	8	-176.74045	79.08558	15.221497	-561.6042	130.4071661237785	80.54282661622143	40035	360415
1085.457789182663	9	-172.05379	72.16142	13.380753	-424.597	128.08626198083067	79.78899230905817	40091	400506
1196.845967054367	10	-176.82382	76.17721	-21.917679	-442.528	117.85	36.345861080005506	40069	440575
1313.7250635623932	11	-184.73605	74.836845	-32.3999	-478.07855	121.76666666666667	62.76949252558278	40183	480758
1427.353507757187	12	-188.39784	80.644325	-12.97599	-460.53552	118.06489675516224	40.25283559778003	40024	520782
1544.9819536209106	13	-196.70087	92.54953	-46.644115	-508.30365	122.71779141104294	62.32041775166279	40006	560788
1664.503310918808	14	-183.71556	81.81605	-50.318295	-541.04626	123.22461538461539	56.48794570054265	40048	600836
1784.7173116207123	15	-189.23413	88.339424	-11.343071	-525.4754	126.28075709779179	65.79803753361784	40031	640867
1911.3039791584015	16	-176.17946	87.859886	-13.023506	-632.0724	133.45666666666668	81.2013636311334	40037	680904
2037.6957473754883	17	-176.47014	79.597725	-19.802265	-459.81134	130.9248366013072	76.18225633655685	40063	720967
2159.5818033218384	18	-176.87273	86.739555	-7.6185837	-530.7478	125.06853582554517	38.77326423389602	40147	761114
2285.772987127304	19	-167.69783	84.72405	1.6971626	-639.3359	128.67524115755626	64.36577048018427	40018	801132
2408.939836740494	20	-164.70116	80.16115	-21.24266	-591.01953	129.33225806451614	40.89990840826383	40093	841225
2533.6168286800385	21	-175.50778	81.614716	-38.837227	-453.96375	126.27444794952682	38.653647810375574	40029	881254
2662.764596223831	22	-163.46745	83.48613	-21.51047	-571.638	128.65384615384616	62.45081694012618	40140	921394
2796.9068188667297	23	-172.20638	88.01432	-17.957382	-551.96533	128.41666666666666	78.07581443152098	40066	961460
2928.427256345749	24	-166.67632	82.67528	-23.35492	-477.5985	130.72964169381106	70.9993934979047	40134	1001594
3056.0417065620422	25	-167.99622	84.11356	38.10763	-598.6115	124.69470404984423	35.15298478869409	40027	1041621
3194.7721421718597	26	-161.318	83.7408	-13.210381	-569.6738	131.16339869281046	93.14448383825334	40136	1081757
3323.22189617157	27	-165.27061	76.33317	-39.191437	-551.746	121.21818181818182	33.11990571046319	40002	1121759
3459.4435381889343	28	-162.06947	77.07795	-37.22448	-493.74954	127.54285714285714	76.91162051091182	40176	1161935
3594.1535589694977	29	-155.03183	74.82619	-34.238976	-508.58707	122.5474006116208	76.05914757970963	40073	1202008
3727.0533151626587	30	-162.08228	81.34769	-23.780067	-548.879	122.70858895705521	57.13387883103069	40003	1242011
3866.5695044994354	31	-169.07755	77.78676	10.186615	-541.2865	124.45341614906832	80.20203141047733	40074	1282085
4001.7734434604645	32	-164.89767	82.89738	-24.785843	-530.617	114.89111747851003	56.43450605887685	40097	1322182
4136.39949631691	33	-164.92813	74.91903	-39.88658	-426.36584	113.76704545454545	45.10854641254226	40046	1362228
4273.639842987061	34	-167.7797	73.61386	-13.827652	-501.47037	115.3103448275862	58.195283678403264	40128	1402356
4407.025452375412	35	-177.86945	85.24512	-30.353739	-557.83154	108.04043126684635	25.196820571848185	40083	1442439
4541.589438676834	36	-179.95183	85.01825	-21.841904	-602.6282	107.41286863270777	27.05284364246392	40065	1482504
4682.538189649582	37	-205.63034	98.72545	-18.060013	-617.48834	107.12299465240642	52.03804506654304	40064	1522568
4825.042729854584	38	-224.12314	104.40382	-10.77803	-615.0377	105.70976253298153	51.57779875312648	40064	1562632
4968.646977424622	39	-239.9971	111.30469	3.482994	-667.427	105.07853403141361	51.66114026575239	40140	1602772
5113.795952320099	40	-256.24368	118.20243	-6.5463142	-619.4365	105.00785340314137	51.46963157992559	40113	1642885
5261.2407557964325	41	-262.59375	122.18086	-30.44873	-596.13184	102.17602040816327	51.583913570655824	40053	1682938
5407.62051320076	42	-273.33157	132.11914	-8.698227	-621.91376	100.0125	22.48471355721482	40005	1722943
5555.4542927742	43	-277.7456	138.06715	7.114464	-620.77576	98.94074074074074	22.14099475710202	40071	1763014
5707.0787358284	44	-272.32632	139.86089	-19.437592	-620.192	99.07920792079207	22.563631987814404	40028	1803042
5861.90462064743	45	-280.94095	138.91716	-5.2393494	-624.3294	100.92443324937028	50.323280664319284	40067	1843109
6015.837858438492	46	-284.31943	148.8178	-5.628792	-708.2987	97.4963503649635	23.103635367955494	40071	1883180
6171.861238956451	47	-280.9768	142.2161	-16.804375	-710.35547	98.69211822660098	22.01580907456497	40069	1923249
6326.922003507614	48	-285.0776	139.97768	-17.678284	-614.2657	97.01694915254237	22.87193959235952	40068	1963317
6482.5837824344635	49	-297.79965	142.1129	-33.351402	-638.62524	100.35338345864662	24.11777560391981	40041	2003358
6644.856014490128	50	-288.5478	139.8077	5.642288	-644.1756	102.72307692307692	68.16845823564482	40062	2043420
6805.442190408707	51	-300.43857	148.19255	-24.424492	-730.05786	101.95928753180661	51.059097341956026	40070	2083490
6965.977002859116	52	-296.2478	144.60623	-1.7935791	-678.39606	104.12987012987013	50.92952876262586	40090	2123580
7128.986903190613	53	-294.5403	145.75482	32.722538	-699.94604	106.19628647214854	69.44168163296037	40036	2163616
7288.7720646858215	54	-294.64075	145.21486	28.049011	-672.03534	100.54887218045113	50.35724001109513	40119	2203735
7448.272632598877	55	-286.27908	146.02586	2.4405146	-633.13245	98.55911330049261	22.56790962908554	40015	2243750
7606.26863861084	56	-293.75714	145.11728	-9.348007	-624.13806	99.28039702233251	22.180587221040042	40010	2283760
7764.207845926285	57	-289.3146	146.35133	-15.863533	-678.18195	100.055	21.657146049283593	40022	2323782
7924.419016361237	58	-288.61972	139.03183	-8.278542	-637.3827	100.93702770780857	22.396440978321845	40072	2363854
8083.719838380814	59	-299.2535	142.98085	21.968506	-678.30414	101.14141414141415	22.292821737736727	40052	2403906
8243.283960342407	60	-291.52325	142.42107	-27.309723	-626.9418	100.92191435768262	21.25925961215839	40066	2443972
8405.925387144089	61	-277.6205	134.58731	-20.58899	-631.3678	99.78304239401496	23.342624454624293	40013	2483985
8565.405118465424	62	-285.18332	142.35356	-14.479599	-649.65985	99.24257425742574	21.89953589876095	40094	2524079
8727.78484082222	63	-281.92422	136.75426	17.32954	-624.5197	102.38874680306905	51.296463199646325	40034	2564113
8888.443492650986	64	-288.25314	138.70567	-31.020088	-642.80566	96.03357314148681	21.177876899407853	40046	2604159
9048.961152791977	65	-287.36765	139.31068	12.169289	-634.28015	99.26550868486352	22.073000392545847	40004	2644163
9212.060542821884	66	-285.62012	140.95183	7.8893585	-623.9275	104.23958333333333	51.59225046612836	40028	2684191
9378.953940153122	67	-291.74356	151.44409	8.166382	-648.7962	104.02597402597402	68.68568992646613	40050	2724241
9539.996334075928	68	-287.15363	138.62888	-28.317238	-652.4305	99.88528678304239	23.565197043538546	40054	2764295
9704.177075386047	69	-289.57486	141.88713	-1.9461975	-692.03436	101.90076335877863	50.738042243616306	40047	2804342
9866.17108464241	70	-295.86124	140.897	0.44402313	-628.76056	100.44611528822055	22.810134464365788	40078	2844420
10027.25756072998	71	-307.02164	143.25674	-13.903091	-660.8754	99.94513715710723	22.569636932513497	40078	2884498
