Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
105.12411379814148	0	-235.78708	119.52276	-5.4674683	-571.4255	111.86871508379889	85.17157887505468	40049	40049
208.67371654510498	1	-260.7517	132.67519	-40.135925	-599.17413	113.090395480226	28.88801226090103	40034	80083
320.85563683509827	2	-275.432	127.47518	17.120674	-558.93506	114.32	54.82033407934897	40012	120095
438.7496325969696	3	-265.94528	129.09412	25.53698	-624.4181	121.22424242424242	74.31854872797328	40004	160099
560.5822699069977	4	-259.0451	138.1853	-10.145943	-641.1901	126.79113924050633	61.49781860878351	40066	200165
686.3456208705902	5	-249.47064	115.40957	-47.47633	-647.5764	127.79872204472844	61.46586157324983	40001	240166
814.460560798645	6	-210.95236	113.541435	32.91308	-625.42896	129.7928802588997	63.32197337235183	40106	280272
941.8233511447906	7	-211.88333	117.70413	-46.551334	-710.03534	133.25913621262458	40.06596667537936	40111	320383
1088.06827378273	8	-200.07272	106.52455	-6.6850815	-580.9191	140.04195804195805	91.66664858768941	40052	360435
1250.518886566162	9	-195.19038	98.54229	-7.2854385	-504.92392	140.97535211267606	85.78192190010675	40037	400472
1418.1132669448853	10	-211.95973	117.05564	-10.889339	-707.5449	146.78021978021977	85.0246422626587	40071	440543
1580.9712216854095	11	-213.58708	111.90696	-13.682426	-561.45746	138.89583333333334	46.28935544035295	40002	480545
1791.0941143035889	12	-212.86217	113.67981	52.10166	-665.0969	143.38709677419354	84.33633369537127	40005	520550
1984.0184745788574	13	-199.23138	108.852486	22.719412	-592.1314	132.26072607260727	40.11453908918193	40075	560625
2170.8907692432404	14	-207.13503	115.25085	5.1718254	-582.4871	138.91003460207614	83.29386135096108	40145	600770
2318.952553987503	15	-209.01395	113.332	-1.5372772	-555.4445	143.59856630824373	84.35194744267052	40064	640834
2503.1430599689484	16	-203.20421	111.109215	-14.656567	-562.22015	133.61666666666667	47.865189740445906	40085	680919
2690.8134853839874	17	-197.62468	108.22134	-19.607376	-697.02423	136.26190476190476	65.64429070752712	40061	720980
2874.5968732833862	18	-211.71545	123.78602	-29.836838	-622.11255	134.251677852349	38.73945512124366	40007	760987
3059.1929926872253	19	-190.58206	107.84311	-10.934433	-576.3685	132.71523178807948	64.91501091554107	40080	801067
3240.0503253936768	20	-196.54295	113.23008	22.658333	-572.7693	135.003367003367	64.39521796226329	40096	841163
3430.549875020981	21	-210.69827	114.42302	5.837425	-548.64215	138.90625	97.17971733308087	40005	881168
3611.4178655147552	22	-203.12505	119.968925	-27.22701	-794.22644	131.64473684210526	41.88320350041367	40020	921188
3793.937774181366	23	-189.88435	103.6199	-18.955963	-726.2591	130.8954248366013	41.38985120762635	40054	961242
3991.9852645397186	24	-212.1188	113.388954	-31.267475	-578.381	135.13468013468014	63.474977513601615	40135	1001377
4188.760804891586	25	-193.52022	106.02633	-11.972702	-590.5739	133.70666666666668	66.32923404418966	40112	1041489
4393.517955780029	26	-208.58284	119.902855	2.8672333	-681.2636	137.10616438356163	96.1284049382542	40035	1081524
4593.784551382065	27	-203.29083	119.66566	-20.972218	-592.50824	143.1	97.93257884892034	40068	1121592
4784.438783407211	28	-203.22183	114.32915	-36.11518	-792.8993	130.82084690553745	40.648855674996064	40162	1161754
4974.578938961029	29	-207.69284	112.44173	-31.200188	-668.3867	131.93421052631578	41.067846792426366	40108	1201862
5169.2935338020325	30	-192.34293	105.44948	-15.558159	-553.06573	133.60333333333332	64.53153742335775	40081	1241943
5365.702123403549	31	-206.64879	110.48761	-34.694153	-684.7082	131.13725490196077	63.17333337715193	40128	1282071
