Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.5054826736450195	0	30.485714	21.51461	91.0	11.0	30.485714285714284	21.514608231314345	1067	1067
0.7878754138946533	1	38.703705	25.852596	122.0	12.0	38.7037037037037	25.852594704385975	1045	2112
1.0468559265136719	2	37.62963	19.857172	93.0	13.0	37.629629629629626	19.857171758163247	1016	3128
1.3037269115447998	3	39.576923	21.449715	110.0	11.0	39.57692307692308	21.449714139969103	1029	4157
1.5515391826629639	4	42.291668	23.626396	91.0	11.0	42.291666666666664	23.62639619625097	1015	5172
1.79781174659729	5	51.2	25.073093	102.0	16.0	51.2	25.073093147834793	1024	6196
2.045558214187622	6	44.347828	29.791462	143.0	12.0	44.34782608695652	29.79146171181058	1020	7216
2.2904648780822754	7	47.809525	26.575352	140.0	15.0	47.80952380952381	26.575353866065	1004	8220
2.5191776752471924	8	50.1	46.32267	189.0	12.0	50.1	46.322672634467025	1002	9222
2.7677242755889893	9	59.294117	33.495857	131.0	13.0	59.294117647058826	33.495855241195144	1008	10230
3.030015707015991	10	70.53333	42.734634	155.0	13.0	70.53333333333333	42.73463336556065	1058	11288
3.291659116744995	11	56.5	39.34357	198.0	18.0	56.5	39.34357211370959	1017	12305
3.548332691192627	12	54.94737	31.531895	135.0	16.0	54.94736842105263	31.53189477040088	1044	13349
3.814342498779297	13	60.38889	34.37237	146.0	22.0	60.388888888888886	34.37237083099171	1087	14436
4.067108869552612	14	63.0	36.17838	133.0	15.0	63.0	36.178377520281366	1008	15444
4.320581436157227	15	91.27273	40.217793	167.0	37.0	91.27272727272727	40.21779549378814	1004	16448
4.571624040603638	16	85.166664	52.236374	196.0	15.0	85.16666666666667	52.23637515074039	1022	17470
4.813705682754517	17	73.57143	52.6711	200.0	22.0	73.57142857142857	52.671101165242256	1030	18500
5.0701727867126465	18	61.058823	29.208118	113.0	12.0	61.05882352941177	29.20811850926401	1038	19538
5.321744441986084	19	91.454544	56.256496	200.0	29.0	91.45454545454545	56.25649641090131	1006	20544
5.5784406661987305	20	93.454544	32.094643	161.0	51.0	93.45454545454545	32.094643099783475	1028	21572
5.847416162490845	21	95.0	38.42742	154.0	33.0	95.0	38.42742076521226	1140	22712
6.116743564605713	22	97.0	37.421432	155.0	35.0	97.0	37.42143284754923	1067	23779
6.38416600227356	23	106.2	48.630856	173.0	31.0	106.2	48.63085440335179	1062	24841
6.640893220901489	24	116.44444	55.071896	200.0	33.0	116.44444444444444	55.071894649148526	1048	25889
6.915693044662476	25	83.23077	30.969349	143.0	21.0	83.23076923076923	30.969349229778405	1082	26971
7.16800332069397	26	113.888885	37.545364	173.0	42.0	113.88888888888889	37.545363508529974	1025	27996
7.418843746185303	27	94.818184	46.188976	169.0	14.0	94.81818181818181	46.18897582327742	1043	29039
7.672355651855469	28	119.55556	44.537403	200.0	38.0	119.55555555555556	44.53740278590098	1076	30115
7.9389848709106445	29	103.181816	43.255726	200.0	49.0	103.18181818181819	43.2557262248557	1135	31250
8.193689823150635	30	143.71428	45.342236	200.0	69.0	143.71428571428572	45.34223602059055	1006	32256
8.448199033737183	31	102.1	60.1838	200.0	20.0	102.1	60.18380180746311	1021	33277
8.71895956993103	32	123.0	65.60488	200.0	16.0	123.0	65.60487786742691	1107	34384
8.990189552307129	33	141.25	51.097332	200.0	55.0	141.25	51.09733358992424	1130	35514
9.269464015960693	34	158.14285	45.047367	200.0	73.0	158.14285714285714	45.04736736061774	1107	36621
9.517864227294922	35	132.375	57.367104	200.0	36.0	132.375	57.36710185289126	1059	37680
9.776371955871582	36	164.42857	57.621563	200.0	31.0	164.42857142857142	57.621566257428164	1151	38831
10.032732486724854	37	115.111115	59.262962	196.0	26.0	115.11111111111111	59.26296284722945	1036	39867
10.299731731414795	38	176.66667	32.688766	200.0	105.0	176.66666666666666	32.688768033616	1060	40927
10.567484378814697	39	122.333336	55.839054	200.0	21.0	122.33333333333333	55.839054433254866	1101	42028
10.825789213180542	40	155.71428	44.736416	200.0	68.0	155.71428571428572	44.736416248683916	1090	43118
11.09218978881836	41	184.83333	26.346516	200.0	128.0	184.83333333333334	26.346515687826518	1109	44227
11.35990571975708	42	134.625	66.153114	200.0	36.0	134.625	66.15311311646641	1077	45304
11.622385263442993	43	179.0	29.720924	200.0	135.0	179.0	29.720924166878348	1074	46378
11.877598285675049	44	148.71428	56.565296	200.0	30.0	148.71428571428572	56.56529548284199	1041	47419
12.121748208999634	45	171.66667	44.59696	200.0	75.0	171.66666666666666	44.596960534198836	1030	48449
12.371493577957153	46	171.33333	33.762238	200.0	115.0	171.33333333333334	33.76224057862406	1028	49477
12.616562128067017	47	174.5	31.821114	200.0	110.0	174.5	31.821114583454385	1047	50524
12.90057897567749	48	165.71428	43.22273	200.0	84.0	165.71428571428572	43.22272644839348	1160	51684
13.178103923797607	49	182.5	31.409924	200.0	114.0	182.5	31.409924121737916	1095	52779
13.443625450134277	50	160.57143	58.058735	200.0	27.0	160.57142857142858	58.05873169929406	1124	53903
13.714471340179443	51	139.0	61.731274	200.0	56.0	139.0	61.731272463800714	1112	55015
13.98928713798523	52	164.28572	51.36345	200.0	46.0	164.28571428571428	51.36345083454433	1150	56165
14.255171298980713	53	177.0	32.777023	200.0	124.0	177.0	32.77702447345295	1062	57227
14.52232575416565	54	137.0	62.62787	200.0	40.0	137.0	62.62786919575023	1096	58323
14.787422895431519	55	179.0	46.957428	200.0	74.0	179.0	46.95742752749558	1074	59397
