Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
1.3274688720703125	0	11.811765	5.8500757	40.0	5.0	11.811764705882354	5.850076153646225	1004	1004
1.9584980010986328	1	22.863636	11.742678	55.0	8.0	22.863636363636363	11.74267839412153	1006	2010
2.5110528469085693	2	37.074074	21.272354	108.0	15.0	37.074074074074076	21.272353690884056	1001	3011
3.058530330657959	3	48.190475	25.785967	105.0	14.0	48.19047619047619	25.785967109519913	1012	4023
3.6254167556762695	4	73.85714	32.33277	158.0	20.0	73.85714285714286	32.33277227930365	1034	5057
4.235036134719849	5	84.46154	28.9286	145.0	42.0	84.46153846153847	28.928600127303845	1098	6155
4.810333728790283	6	77.84615	36.748306	196.0	55.0	77.84615384615384	36.748304312205825	1012	7167
5.367947101593018	7	73.21429	27.098177	133.0	39.0	73.21428571428571	27.0981775123309	1025	8192
5.941826820373535	8	108.8	41.496506	193.0	67.0	108.8	41.496505877001255	1088	9280
6.516820669174194	9	88.25	34.17632	164.0	45.0	88.25	34.17631977456516	1059	10339
7.089232444763184	10	87.416664	23.06678	140.0	49.0	87.41666666666667	23.066781069080463	1049	11388
7.664763927459717	11	95.90909	43.177128	182.0	39.0	95.9090909090909	43.177128931992655	1055	12443
8.20870065689087	12	86.75	18.028334	112.0	55.0	86.75	18.028334180764826	1041	13484
8.744102954864502	13	101.6	35.55053	180.0	46.0	101.6	35.5505274222479	1016	14500
9.310177326202393	14	115.111115	30.693626	164.0	74.0	115.11111111111111	30.693627440107157	1036	15536
9.856226444244385	15	113.55556	42.49996	217.0	64.0	113.55555555555556	42.49996368916386	1022	16558
10.446594953536987	16	108.2	55.271694	217.0	35.0	108.2	55.27169257404734	1082	17640
11.035989999771118	17	107.8	30.573845	153.0	60.0	107.8	30.573845031333562	1078	18718
11.578505516052246	18	84.583336	34.15274	137.0	46.0	84.58333333333333	34.15274106455033	1015	19733
12.157350540161133	19	103.8	22.323978	146.0	73.0	103.8	22.323978140107556	1038	20771
12.729121446609497	20	120.55556	41.58288	174.0	43.0	120.55555555555556	41.582878717918696	1085	21856
13.321175575256348	21	182.33333	66.251205	279.0	92.0	182.33333333333334	66.25120543976706	1094	22950
13.865296125411987	22	126.125	66.6979	265.0	61.0	126.125	66.69789633114375	1009	23959
14.439878702163696	23	180.0	100.57833	381.0	53.0	180.0	100.57832768544127	1080	25039
15.000935316085815	24	150.0	80.95854	268.0	72.0	150.0	80.95854318282731	1050	26089
15.540921926498413	25	172.33333	36.247604	236.0	130.0	172.33333333333334	36.24760528488591	1034	27123
16.09085726737976	26	114.111115	56.853504	239.0	43.0	114.11111111111111	56.85350462068562	1027	28150
16.734530210494995	27	206.66667	100.11272	344.0	87.0	206.66666666666666	100.11271425526108	1240	29390
17.325376272201538	28	136.75	54.678036	276.0	86.0	136.75	54.67803489519352	1094	30484
17.888025283813477	29	118.55556	28.288633	172.0	80.0	118.55555555555556	28.28863576739336	1067	31551
18.454548835754395	30	88.0	19.061304	129.0	52.0	88.0	19.061304607327727	1056	32607
19.041311025619507	31	109.8	25.670218	143.0	56.0	109.8	25.670216204777084	1098	33705
19.76031184196472	32	193.85715	103.271385	402.0	88.0	193.85714285714286	103.2713880599885	1357	35062
20.35624361038208	33	177.5	39.546387	219.0	109.0	177.5	39.54638626558268	1065	36127
20.920459747314453	34	173.16667	63.39931	281.0	81.0	173.16666666666666	63.3993077424527	1039	37166
21.541622161865234	35	128.22223	48.982487	211.0	62.0	128.22222222222223	48.98248616206903	1154	38320
22.092990159988403	36	112.666664	39.049828	199.0	60.0	112.66666666666667	39.04982572161992	1014	39334
22.64624524116516	37	128.0	46.82414	216.0	49.0	128.0	46.82413907377262	1024	40358
23.277379989624023	38	196.83333	60.973812	302.0	123.0	196.83333333333334	60.97381040705555	1181	41539
23.943367958068848	39	253.8	120.81622	463.0	94.0	253.8	120.8162240760735	1269	42808
24.506444692611694	40	216.8	134.18405	384.0	15.0	216.8	134.18405270373972	1084	43892
25.04302453994751	41	204.0	53.81821	295.0	140.0	204.0	53.81821253070377	1020	44912
25.69296360015869	42	148.625	76.22489	237.0	25.0	148.625	76.22489340760012	1189	46101
26.261902332305908	43	214.6	98.882965	310.0	73.0	214.6	98.88296112071079	1073	47174
26.95024800300598	44	217.66667	148.96718	533.0	86.0	217.66666666666666	148.96718505168255	1306	48480
27.496127605438232	45	175.5	80.03697	322.0	86.0	175.5	80.03697062399768	1053	49533
28.050525188446045	46	353.0	156.88425	563.0	186.0	353.0	156.88424607546378	1059	50592
28.71982502937317	47	438.66666	87.73192	540.0	326.0	438.6666666666667	87.73191488215043	1316	51908
29.301321029663086	48	182.83333	76.062294	280.0	78.0	182.83333333333334	76.06229172344351	1097	53005
30.120055675506592	49	526.0	344.4764	882.0	60.0	526.0	344.4764142869581	1578	54583
30.815711498260498	50	668.5	31.5	700.0	637.0	668.5	31.5	1337	55920
31.835536003112793	51	488.0	353.4268	1000.0	84.0	488.0	353.42679581491836	1952	57872
32.85946798324585	52	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	59872
33.75019836425781	53	875.0	125.0	1000.0	750.0	875.0	125.0	1750	61622
34.775559186935425	54	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	63622
35.812283754348755	55	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	65622
36.84249258041382	56	1000.0	0.0	1000.0	1000.0	1000.0	0.0	2000	67622
