Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
118.74438142776489	0	-241.99945	120.576515	-26.142544	-649.64355	107.18449197860963	52.58520638567721	40087	40087
242.968900680542	1	-205.24586	86.23197	-43.84842	-639.0952	106.96791443850267	26.480424359516203	40006	80093
373.068776845932	2	-183.16707	80.71447	-3.8325424	-620.58453	110.02747252747253	53.92133375827441	40050	120143
505.04336190223694	3	-179.62384	73.979805	-24.258465	-497.60138	106.11405835543766	28.218458859402254	40005	160148
639.0936028957367	4	-174.81093	68.43278	-47.16719	-464.19046	105.65963060686016	27.128886762290374	40045	200193
781.947389125824	5	-172.21472	68.44196	56.358788	-403.3504	114.73352435530086	75.33250491866735	40042	240235
922.9442517757416	6	-174.11487	68.10931	-34.179504	-435.17087	107.31550802139037	27.917792328284662	40136	280371
1068.9833779335022	7	-166.43446	69.35354	-8.273998	-486.48727	105.32105263157895	26.062416556925484	40022	320393
1250.8014075756073	8	-163.61382	66.048805	5.6189423	-477.94785	110.22527472527473	71.45715552325026	40122	360515
1426.3079390525818	9	-169.00177	76.20313	-9.907738	-517.4487	105.40263157894736	26.680734098262004	40053	400568
1621.7093636989594	10	-173.60791	75.47258	-1.7086868	-497.68695	111.58126721763085	61.972364600293695	40504	441072
1843.625200510025	11	-172.35234	76.74943	-3.8850212	-456.2886	110.24450549450549	54.370453934275744	40129	481201
2050.0481526851654	12	-169.56973	73.84255	-26.864151	-583.24664	106.1058201058201	28.253284081049113	40108	521309
2231.7388422489166	13	-177.71573	86.97956	-10.865791	-514.74445	111.20555555555555	54.695896374837055	40034	561343
2406.549340248108	14	-175.96101	83.12246	-6.741379	-573.96545	110.41873278236915	54.39940934639948	40082	601425
2610.490735054016	15	-170.9162	83.20329	26.72929	-513.4581	113.18079096045197	72.31905980219749	40066	641491
2817.637200117111	16	-172.45157	88.35238	-15.86145	-548.4889	111.94972067039106	71.82044446352818	40078	681569
3017.34365439415	17	-176.28897	86.67436	4.5339127	-545.6488	109.03814713896458	27.02211557376462	40017	721586
3217.5448167324066	18	-166.37604	84.16929	-10.393337	-637.6892	118.21238938053098	88.04468408243518	40074	761660
3419.4627828598022	19	-175.68927	83.34462	23.768358	-554.3095	118.7566765578635	88.0980713214376	40021	801681
3618.387546300888	20	-178.31433	93.34995	10.964157	-556.1586	120.5210843373494	74.37006240387824	40013	841694
3822.6326184272766	21	-172.60696	81.67255	-0.5688095	-433.2809	117.4633431085044	57.28267080668794	40055	881749
4042.7926182746887	22	-177.60509	94.0654	-0.8143463	-537.69037	128.35256410256412	102.99323505834911	40046	921795
4261.066353797913	23	-177.39441	97.78503	-6.586399	-654.6529	125.98427672955975	58.258449366508955	40063	961858
4478.438949584961	24	-189.64804	91.75207	-4.161728	-481.305	125.6614420062696	59.169260312646266	40086	1001944
4701.297322511673	25	-195.59087	102.11317	24.247803	-629.7545	132.02970297029702	92.87947285309886	40005	1041949
4918.098735809326	26	-187.70139	97.26964	-12.324455	-565.58496	127.19047619047619	77.81640116485363	40065	1082014
5134.538507223129	27	-199.82976	103.98748	-33.376358	-581.07025	126.84493670886076	77.85590800364442	40083	1122097
5350.548703193665	28	-205.04898	103.6111	12.092636	-569.48114	130.12662337662337	62.10809757754869	40079	1162176
